Code,Parent,Name_fr
"25191","2519","Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs, qualité et testing"
"25200","2520","Spécialistes des bases de données et des réseaux d’ordinateurs, sip"
"25210","2521","Spécialistes des bases de données"
"25220","2522","Administrateurs de systèmes"
"25230","2523","Spécialistes des réseaux d’ordinateurs"
"25290","2529","Spécialistes des bases de données et des réseaux d’ordinateurs non classés ailleurs (à l'exception de la sécurité et du data mining)"
"25291","2529","Spécialistes des bases de données et des réseaux d’ordinateurs non classés ailleurs, sécurité et data mining"
"26000","2600","Spécialistes de la justice, des sciences sociales et de la culture, sip"
"26100","2610","Juristes, sip"
"26110","2611","Avocats"
"26120","2612","Magistrats"
"26190","2619","Juristes non classés ailleurs (sauf notaires)"
"26191","2619","Juristes non classés ailleurs, notaires"
"26200","2620","Archivistes, bibliothécaires, documentalistes et assimilés, sip"
"26210","2621","Archivistes paléographes et conservateurs de musée"
"26220","2622","Bibliothécaires, documentalistes et professions assimilées"
"26300","2630","Spécialistes des sciences sociales et du clergé, sip"
"26310","2631","Économistes"
"26320","2632","Sociologues, anthropologues et assimilés"
"26330","2633","Philosophes, historiens et spécialistes des sciences politiques"
"26340","2634","Psychologues"
"26350","2635","Spécialistes du travail social"
"26360","2636","Ministres des cultes"
"26400","2640","Auteurs, journalistes et linguistes, sip"
"26410","2641","Auteurs et autres écrivains"
"26420","2642","Journalistes"
"26430","2643","Traducteurs, interprètes et linguistes"
"26500","2650","Artistes créateurs et exécutants, sip"
"26510","2651","Artistes plasticiens"
"26520","2652","Compositeurs, musiciens et chanteurs"
"26530","2653","Danseurs et chorégraphes"
"26540","2654","Metteurs en scène de cinéma, de théâtre et d’autres spectacles"
"26550","2655","Acteurs"
"26560","2656","Annonceurs-présentateurs de radio, de télévision et autres médias"
"26590","2659","Artistes créateurs et exécutants non classés ailleurs"
"30000","3000","Professions intermédiaires, sip"
"30001","3000","Chefs de projet, sip"
"30002","3000","Chefs de groupe, sip"
"31000","3100","Professions intermédiaires des sciences et techniques, sip"
"31100","3110","Techniciens des sciences physiques et techniques, sip"
"31110","3111","Techniciens des sciences chimiques et physiques, sip"
